,,,MIS  ,,BO/CO,,,
Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,BO/CO Margin(%),CO Upper Trigger,BO/CO Margin(%),BO/CO Multiplier
ORIENTELEC,541301,20.45,10.23,9.78,5.11,10.00,6.14,16.30
PAGEIND,532827,18.94,9.47,10.56,5.00,10.00,5.00,20.00
PEL,500302,49.45,24.73,4.04,12.36,10.00,14.84,6.74
PETRONET,532522,17.85,8.93,11.20,5.00,10.00,5.00,20.00
PFC,532810,25.54,12.77,7.83,6.39,10.00,7.66,13.05
PFIZER,500680,18.61,9.31,10.75,5.00,10.00,5.00,20.00
PFS,533344,25.38,12.69,7.88,6.35,10.00,7.61,13.13
PGHH,500459,13.51,6.76,14.80,5.00,10.00,5.00,20.00
PGHL,500126,19.39,9.70,10.31,5.00,10.00,5.00,20.00
PHILIPCARB,506590,25.16,12.58,7.95,6.29,10.00,7.55,13.25
PHOENIXLTD,503100,22.09,11.05,9.05,5.52,10.00,6.63,15.09
PIDILITIND,500331,16.26,8.13,12.30,5.00,10.00,5.00,20.00
PIIND,523642,18.93,9.47,10.57,5.00,10.00,5.00,20.00
PNB,532461,37.81,18.91,5.29,9.45,10.00,11.34,8.82
PNBGILTS,532366,23.37,11.69,8.56,5.84,10.00,7.01,14.26
POLYCAB,542652,19.05,9.53,10.50,5.00,10.00,5.00,20.00
POLYMED,531768,25.07,12.54,7.98,6.27,10.00,7.52,13.30
POWERGRID,532898,15.48,7.74,12.92,5.00,10.00,5.00,20.00
PRAJIND,522205,24.95,12.48,8.02,6.24,10.00,7.49,13.36
PRESTIGE,533274,28.03,14.02,7.14,7.01,10.00,8.41,11.89
PTC,532524,17.42,8.71,11.48,5.00,10.00,5.00,20.00
PVR,532689,43.44,21.72,4.60,10.86,10.00,13.03,7.67
QUICKHEAL,539678,28.41,14.21,7.04,7.10,10.00,8.52,11.73
RADICO,532497,22.61,11.31,8.85,5.65,10.00,6.78,14.74
RAIN,500339,26.64,13.32,7.51,6.66,10.00,7.99,12.51
RAJESHEXPO,531500,16.62,8.31,12.03,5.00,10.00,5.00,20.00
RALLIS,500355,20.80,10.40,9.62,5.20,10.00,6.24,16.03
RAMCOCEM,500260,16.54,8.27,12.09,5.00,10.00,5.00,20.00
RAMCOIND,532369,22.02,11.01,9.08,5.51,10.00,6.61,15.14
